run-id,crop-ids,sim.json,crop.json,site.json,climate_data,climate_model,climate_scenario,climate_region,start_year,end_year,groundwater-level,impenetrable-layer,elevation,slope,latitude,sowing-date,harvest-date,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3
1,PO,sim.json,crop_potato.json,site.json,dwd,,,/csvs/germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
2,SB,sim.json,crop_SB.json,site.json,dwd,,,/csvs/germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
3,SBee,sim.json,crop_SBee.json,site.json,dwd,,,/csvs/germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
4,SM,sim.json,crop_SM.json,site.json,dwd,,,/csvs/germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
5,WB,sim.json,crop_WB.json,site.json,dwd,,,/csvs/germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
6,WR,sim.json,crop_WR.json,site.json,dwd,,,/csvs/germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
7,WRa,sim.json,crop_WRa.json,site.json,dwd,,,/csvs/germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
8,WW,sim.json,crop_WW.json,site.json,dwd,,,/csvs/germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
9,PO,sim.json,crop_potato.json,site.json,dwd/cmip_cordex_reklies/csv/ICHEC-EC-EARTH/CLMcom-CCLM4-8-17/rcp26/r12i1p1/v1/,,,germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
10,SB,sim.json,crop_SB.json,site.json,dwd/cmip_cordex_reklies/csv,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17/rcp26/r12i1p1/v1/,germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
11,SBee,sim.json,crop_SBee.json,site.json,dwd/cmip_cordex_reklies/csv,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17/rcp26/r12i1p1/v1/,germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
12,SM,sim.json,crop_SM.json,site.json,dwd/cmip_cordex_reklies/csv,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17/rcp26/r12i1p1/v1/,germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
13,WB,sim.json,crop_WB.json,site.json,dwd/cmip_cordex_reklies/csv,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17/rcp26/r12i1p1/v1/,germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
14,WR,sim.json,crop_WR.json,site.json,dwd/cmip_cordex_reklies/csv,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17/rcp26/r12i1p1/v1/,germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
15,WRa,sim.json,crop_WRa.json,site.json,dwd/cmip_cordex_reklies/csv,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17/rcp26/r12i1p1/v1/,germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
16,WW,sim.json,crop_WW.json,site.json,dwd/cmip_cordex_reklies/csv,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17/rcp26/r12i1p1/v1/,germany_ubn_1901-2018_unzipped,1970,2010,FALSE,FALSE,TRUE,TRUE,TRUE,fixed,fixed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,360,
